recclass,count,null2,null3,null4,total,z_null2
L6,8279,✓,✓,✓,3,-3.1549634048842377
H4,4211,✓,✗,✓,2,-1.8731619477655892
H6,4527,✓,✓,✗,2,-1.9111220118108558
EH3,120,✓,✗,✗,1,-1.6548369425751062
H4-5,47,✓,✗,✗,1,-1.7753343606817589
L6-melt breccia,10,✓,✗,✗,1,-1.7581326220460196
LL4-5,10,✓,✗,✗,1,2.681292934454053
Ureilite,300,✓,✗,✗,1,-1.6733813174768348
L3.4,51,✓,✗,✗,1,-1.7786114220607547
Eucrite,221,✓,✗,✗,1,-1.6642122147213592
E5,5,✗,✓,✗,1,2.591739160373907
Angrite,21,✗,✗,✗,0,-0.2753800789035951
CBa,5,✗,✗,✗,0,-0.31243359531440307
CBb,5,✗,✗,✗,0,0.1058235407766499
CH3,21,✗,✗,✗,0,-1.4806023838815288
CI1,9,✗,✗,✗,0,-0.31033530324984215
CK3,13,✗,✗,✗,0,1.225940959581654
CK4,75,✗,✗,✗,0,-0.38523902132837345
CK4/5,12,✗,✗,✗,0,0.45484106145852077
CK5,94,✗,✗,✗,0,-0.6869447119207552
CK5/6,6,✗,✗,✗,0,-0.812645997488736
CK6,17,✗,✗,✗,0,2.1723054140016407
Aubrite-an,6,✗,✗,✗,0,-0.9119897110409224
Aubrite,63,✗,✗,✗,0,0.8786070998880326
Acapulcoite,54,✗,✗,✗,0,-1.4054699025577089
Acapulcoite/Lodranite,6,✗,✗,✗,0,1.2269829991707735
Achondrite-prim,9,✗,✗,✗,0,-1.1209077627784267
Achondrite-ung,57,✗,✗,✗,0,-1.2931357742005194
CO3.2,8,✗,✗,✗,0,1.6397800896787176
CO3.1,6,✗,✗,✗,0,0.046234968729085335
CO3,334,✗,✗,✗,0,0.02981510216263701
CM2,414,✗,✗,✗,0,0.4773791399819499
CM1/2,18,✗,✗,✗,0,-0.002629965120499239
CR2,135,✗,✗,✗,0,-1.448032700409189
CR,8,✗,✗,✗,0,2.325251061644049
CO3.3,7,✗,✗,✗,0,0.7791494870889747
Chondrite-ung,15,✗,✗,✗,0,-0.5136370688377211
Diogenite,241,✗,✗,✗,0,-1.317877657865622
Diogenite-pm,11,✗,✗,✗,0,0.7146937152232945
Diogenite-olivine,9,✗,✗,✗,0,-1.4236670202603245
E,7,✗,✗,✗,0,-0.5770298344519901
E-an,5,✗,✗,✗,0,1.6080910852392072
CO3.5,12,✗,✗,✗,0,1.1769098604335517
CO3.4,5,✗,✗,✗,0,0.04497276005630277
E3-an,6,✗,✗,✗,0,1.7657151720946795
E3,206,✗,✗,✗,0,0.9239219254888958
EH-imp melt,6,✗,✗,✗,0,-1.484663566893767
E6,9,✗,✗,✗,0,-0.5704825404081111
EH4/5,9,✗,✗,✗,0,-0.699361521787088
EH5,6,✗,✗,✗,0,-1.0394298640001642
EH6,5,✗,✗,✗,0,1.3971116682040703
EH4,18,✗,✗,✗,0,0.42282837684182906
EL3,19,✗,✗,✗,0,-0.917746845488749
EL4,13,✗,✗,✗,0,-1.4546793894160435
EL5,6,✗,✗,✗,0,-0.06195941657759361
EL6,72,✗,✗,✗,0,-1.1096649418182953
Eucrite-br,80,✗,✗,✗,0,-1.7407818120751786
Eucrite-cm,26,✗,✗,✗,0,-0.7413790928658965
CV3,256,✗,✗,✗,0,1.6575603640393795
CO3.6,6,✗,✗,✗,0,-0.7995867787139904
Eucrite-pmict,207,✗,✗,✗,0,-1.6849644167323166
Eucrite-mmict,108,✗,✗,✗,0,-0.18725302793682014
Eucrite-unbr,32,✗,✗,✗,0,1.5795708514454188
H,82,✗,✗,✗,0,0.6727282310478925
H-metal,6,✗,✗,✗,0,1.3338591978255332
H/L3,6,✗,✗,✗,0,-1.1603583530666821
H-imp melt,11,✗,✗,✗,0,-0.26163148433683997
H-melt rock,8,✗,✗,✗,0,0.004597262541134407
H/L6,11,✗,✗,✗,0,0.08702862426580664
H3,386,✗,✗,✗,0,-0.4401540709373499
H3-4,10,✗,✗,✗,0,1.447325019965833
H3-5,39,✗,✗,✗,0,-1.1020688176468332
H3-6,43,✗,✗,✗,0,0.08541152127590917
H3.3,7,✗,✗,✗,0,-0.10014509421234745
H/L4,13,✗,✗,✗,0,0.7837424999073959
H/L5,7,✗,✗,✗,0,-0.551862935232463
H3.5,18,✗,✗,✗,0,-0.287983207525426
H3.4,16,✗,✗,✗,0,-0.9294676350744346
H3.8,76,✗,✗,✗,0,-0.7745223761946451
H3.6,42,✗,✗,✗,0,1.4950635946263389
H3.9,43,✗,✗,✗,0,-0.8145601985935919
H3.9/4,5,✗,✗,✗,0,1.2717873096536407
H3/4,35,✗,✗,✗,0,0.3788651228646581
H3.7,75,✗,✗,✗,0,0.768583856865491
H4 ,11,✗,✗,✗,0,1.17828090323973
H4-6,67,✗,✗,✗,0,-0.6626312081219591
CM1,19,✗,✗,✗,0,0.8394100964186229
Brachinite,33,✗,✗,✗,0,-1.4956384120478992
C,8,✗,✗,✗,0,1.719573492417415
C2-ung,14,✗,✗,✗,0,-0.14291796207106391
C3-ung,12,✗,✗,✗,0,-0.0019854787698200646
CB,8,✗,✗,✗,0,0.8925713099227504
H5-6,63,✗,✗,✗,0,1.3033217806786208
H5 ,22,✗,✗,✗,0,1.0495919553339872
H5,7138,✗,✗,✗,0,-1.4406723635276206
H4/6,6,✗,✗,✗,0,-1.3674325738582402
H4/5,428,✗,✗,✗,0,-0.5709804178777638
H4-an,10,✗,✗,✗,0,-1.0416524677561267
H7,12,✗,✗,✗,0,-1.34894700492449
H5/6,193,✗,✗,✗,0,-1.5008354561704467
"Iron, IAB complex",51,✗,✗,✗,0,-0.4904713181977002
"Iron, IAB-MG",83,✗,✗,✗,0,0.11374973925137474
"Iron, IAB-sHH",5,✗,✗,✗,0,0.8756592501111354
"Iron, IAB-sHL",17,✗,✗,✗,0,1.0231583270691513
H~4,18,✗,✗,✗,0,-1.146191151793639
H~5,111,✗,✗,✗,0,-0.46732688843320913
H~6,22,✗,✗,✗,0,-0.8696142036889725
Howardite,240,✗,✗,✗,0,-1.1765537017339396
"Iron, IC",10,✗,✗,✗,0,0.04769190336897958
"Iron, IIAB",117,✗,✗,✗,0,0.43750950680089074
"Iron, IIC",8,✗,✗,✗,0,-0.8924697154303487
"Iron, IID",19,✗,✗,✗,0,-0.45871300694950545
"Iron, IIE",14,✗,✗,✗,0,-0.5942144765702476
"Iron, IIE-an",7,✗,✗,✗,0,0.18232206213028437
"Iron, IIF",6,✗,✗,✗,0,-1.1244950242460579
"Iron, IIG",6,✗,✗,✗,0,-1.443740151479278
"Iron, IIIAB",284,✗,✗,✗,0,-0.21296276540691614
"Iron, IIIE",14,✗,✗,✗,0,1.9122879969054614
"Iron, IIIF",9,✗,✗,✗,0,-0.5126017582621719
"Iron, IVA",67,✗,✗,✗,0,1.3337436250265273
"Iron, IAB-sLH",9,✗,✗,✗,0,-0.8833549064544393
"Iron, IAB-sLL",27,✗,✗,✗,0,0.767210219122192
"Iron, IAB-sLM",10,✗,✗,✗,0,-0.910242183677516
Iron,76,✗,✗,✗,0,-0.37691606597594324
L,50,✗,✗,✗,0,-1.4525422903889957
L(LL)3,5,✗,✗,✗,0,-0.9770267997945181
L-melt breccia,14,✗,✗,✗,0,-0.627499846618757
L-imp melt,25,✗,✗,✗,0,-0.50829198993252
L-metal,5,✗,✗,✗,0,1.0951502555995516
L/LL3,26,✗,✗,✗,0,-1.0910684790142762
L/LL4,20,✗,✗,✗,0,0.7248545395792972
L-melt rock,21,✗,✗,✗,0,-0.47021512867843324
L/LL5/6,5,✗,✗,✗,0,0.900409912988631
L/LL6,26,✗,✗,✗,0,0.460227308912569
L3,365,✗,✗,✗,0,0.9883761497462561
L3-5,13,✗,✗,✗,0,-1.321491242266658
L3-6,32,✗,✗,✗,0,1.1102707289867981
L3.1,13,✗,✗,✗,0,0.5965795649976313
L3.2,15,✗,✗,✗,0,-1.0582522670327779
L/LL5,16,✗,✗,✗,0,0.9120670204548561
L3.3,17,✗,✗,✗,0,-1.2209209320938124
L3.5,88,✗,✗,✗,0,0.31553173927645706
L3.6,48,✗,✗,✗,0,0.4430566641126202
L3.7,49,✗,✗,✗,0,-0.37061060779239097
L3.8,66,✗,✗,✗,0,-0.940597259865665
L3.8-6,9,✗,✗,✗,0,-0.4127428996289149
L3.9,27,✗,✗,✗,0,0.9372430915948905
L3/4,12,✗,✗,✗,0,-0.5304284063899739
L4,1253,✗,✗,✗,0,-1.400274392004069
L4-5,24,✗,✗,✗,0,1.5561065291030518
L4-6,33,✗,✗,✗,0,1.3148261935361247
L4/5,59,✗,✗,✗,0,-1.0303172922793475
"Iron, IVA-an",6,✗,✗,✗,0,-0.6730562070444096
"Iron, IVB",14,✗,✗,✗,0,1.9263097610071362
"Iron, ungrouped",113,✗,✗,✗,0,0.21706870316823607
"Iron, IAB-ung",46,✗,✗,✗,0,1.1347298867484301
L5/6,109,✗,✗,✗,0,0.25830166041796127
L5-6,41,✗,✗,✗,0,1.1015374593859544
L5 ,21,✗,✗,✗,0,1.5934945738221182
L5,4794,✗,✗,✗,0,-1.3553040849078648
L7,21,✗,✗,✗,0,-0.7585724328791376
LL,225,✗,✗,✗,0,-1.2371918893807623
LL(L)3,7,✗,✗,✗,0,0.0778368065218064
L6 ,54,✗,✗,✗,0,-1.2455388929465405
LL-melt rock,7,✗,✗,✗,0,-0.8046368810899928
LL3,128,✗,✗,✗,0,-1.6072800946256225
LL3-6,9,✗,✗,✗,0,0.8808571889663469
LL3.1,6,✗,✗,✗,0,-0.7133255336791121
LL3.2,14,✗,✗,✗,0,0.7299797731981414
LL3.3,15,✗,✗,✗,0,-0.9498623595540411
LL3.4,20,✗,✗,✗,0,-0.6619647917684701
L6/7,9,✗,✗,✗,0,-0.8714981651619027
LL3.5,17,✗,✗,✗,0,-1.6099612145672222
LL3.6,17,✗,✗,✗,0,1.510292735641069
LL3.8,28,✗,✗,✗,0,-0.8663322461756645
LL3.7,26,✗,✗,✗,0,-0.38664414174139994
LL3.9,16,✗,✗,✗,0,-0.6149555585033998
LL4,268,✗,✗,✗,0,-0.5626058373863875
LL4-6,34,✗,✗,✗,0,-1.3872824693712578
LL4/5,5,✗,✗,✗,0,-0.21842269305408943
LL5,2766,✗,✗,✗,0,-0.6815463793154488
LL5-6,40,✗,✗,✗,0,-1.4110691181183883
LL5/6,48,✗,✗,✗,0,0.17362996384574023
LL6,2043,✗,✗,✗,0,-1.2745046104071784
LL7,22,✗,✗,✗,0,-0.5638739259956315
LL~5,9,✗,✗,✗,0,-1.4240397389449673
LL~6,5,✗,✗,✗,0,-0.5757327273954204
LL-melt breccia,54,✗,✗,✗,0,-1.060156160189717
Lodranite,40,✗,✗,✗,0,-0.8169785483229278
Lunar,41,✗,✗,✗,0,-0.4026218575455788
Lunar (basalt),16,✗,✗,✗,0,0.6561889781540438
Lunar (anorth),69,✗,✗,✗,0,-0.9450392330868296
Lunar (gabbro),6,✗,✗,✗,0,-0.962539429723805
L~4,10,✗,✗,✗,0,-1.2763664649853719
L~5,32,✗,✗,✗,0,0.3860249162945134
Lunar (feldsp. breccia),27,✗,✗,✗,0,-0.8438040957391603
Martian (nakhlite),14,✗,✗,✗,0,-0.29905612203299436
Martian (shergottite),99,✗,✗,✗,0,-1.388965686421878
Mesosiderite,136,✗,✗,✗,0,-0.5909556483981234
Mesosiderite-A1,6,✗,✗,✗,0,1.3750232539982572
Mesosiderite-B2,5,✗,✗,✗,0,0.882361755813657
Mesosiderite-C,7,✗,✗,✗,0,1.3235472136287822
Mesosiderite-an,6,✗,✗,✗,0,0.30609319129057533
L~6,94,✗,✗,✗,0,-1.184059593899482
OC,73,✗,✗,✗,0,0.45376535453438954
OC3,8,✗,✗,✗,0,-0.8558933444312838
"Pallasite, PMG",38,✗,✗,✗,0,-1.1289772176264723
Pallasite,35,✗,✗,✗,0,-1.484106701817631
"Pallasite, ungrouped",5,✗,✗,✗,0,1.2006630915764855
R3,15,✗,✗,✗,0,1.2771815927940982
R3-5,6,✗,✗,✗,0,-1.601184557336457
"Pallasite, PMG-an",11,✗,✗,✗,0,0.08720089305653768
R3-6,10,✗,✗,✗,0,0.637883948264873
R3.8,9,✗,✗,✗,0,-1.3992693672537462
R5,20,✗,✗,✗,0,1.193113819111865
R4,42,✗,✗,✗,0,-1.3873333542785051
R6,9,✗,✗,✗,0,0.41353871809693066
Stone-uncl,30,✗,✗,✗,0,-0.16569287323308377
Ureilite-pmict,23,✗,✗,✗,0,-0.8444565614013543
Winonaite,25,✗,✗,✗,0,1.212234795509284
